year,UA_GDP_growth
1988,2.56646326960379
1989,3.87310321162344
1990,-6.34523512831163
1991,-8.6999999997216
1992,-9.90000000204168
1993,-14.1999999993643
1994,-22.8999999992283
1995,-12.2000000007385
1996,-10.0
1997,-2.99999999842365
1998,-1.90000000214164
1999,-0.200000000106499
2000,5.90000000024899
2001,8.80000000367222
2002,5.33964720719075
2003,9.51660986436364
2004,11.7953525281136
2005,3.07123039245209
2006,7.57142076322967
2007,8.21584445165715
2008,2.24349159628288
2009,-15.1364679101502
2010,4.09200436668087
2011,5.44528081048476
2012,0.152314967200653
2013,0.045439094492707
2014,-10.0788949840953
2015,-9.7729872128676
2016,2.44098194492067
2017,2.35997228099491
2018,3.48836234022659
2019,3.19950386354134
2020,-3.75281793983162
2021,3.44562065945944
2022,-28.7585842155085
2023,5.53473354963334
2024,2.9138222142611
